1;Frei;Frei;1;0
2;Raumreservierung;RaumRes;1;0
3;Computerreservierung;CompRes;1;0
4;Sonstiges;Sonst;0;0
5;Abwesenheit Lehrer;AbwLehr;0;0
6;Schularbeit;SA;1;1
7;Test;Test;1;1
8;SMÜ;SMÜ;1;1
9;Matura;Mat;1;0
