ADAT;ANGEWANDTE DATENTECHNIK
IBUS;INSTALLATIONSBUS
AORB;ALLGEM. ORTSBILDPFLEGE
HANT;HANDHABUNGSTECHNIK
PDV;PROZESSDATENVERARBEITUNG
APR;ANGEWANDTE PROGRAMMIERUNG
BFT;BETRIEBS U. FÜHRNGSPRAXIS
DBSY;DATENBANKSYSTEME
SEN;SOFTWAREENGINEERING
EAT;ELEKTRISCHE ANTRIEBSTECHNIK
MIL;MIKROELEKTRONIK
